run,story,unit,all_matching_units,assigned_matching_units,clusters_with_matches,best_cluster,best_matches,best_cluster_size,best_match_fraction,best_keyword_purity,top5_union_match_fraction
article-combined-0.15-leiden,idai,canonical_any_matching_alias,1467,1317,52,82,649,3209,0.44239945466939334,0.20224368962293549,0.8186775732788003
article-combined-0.15-leiden,brexit,url,16961,14945,177,12,10279,23950,0.6060373798714699,0.42918580375782883,0.6737810270620836
article-combined-0.15-leiden,brexit,canonical_any_matching_alias,10183,9062,177,12,5809,16330,0.5704605715408033,0.35572565829761177,0.6452911715604439
article-combined-0.15-leiden,idai_specific,url,339,325,3,140,310,1065,0.9144542772861357,0.29107981220657275,0.9587020648967551
article-combined-0.15-leiden,idai_specific,canonical_any_matching_alias,281,267,3,140,254,886,0.9039145907473309,0.2866817155756208,0.9501779359430605
article-combined-0.3-leiden,crash_grounding,url,29411,26034,2497,12,4408,5696,0.14987589677331611,0.773876404494382,0.4185508823229404
article-combined-0.3-leiden,crash_grounding,canonical_any_matching_alias,19238,16949,2497,12,2857,3740,0.14850816093148975,0.763903743315508,0.4122569913712444
article-combined-0.3-leiden,christchurch,url,14239,12621,1539,34,3926,6854,0.2757216096636,0.5728042019258827,0.48971135613456
article-combined-0.3-leiden,christchurch,canonical_any_matching_alias,9171,8039,1539,34,2307,4518,0.2515538109257442,0.5106241699867198,0.438556318831098
article-combined-0.3-leiden,idai,url,2283,1901,191,234,483,513,0.21156373193166886,0.9415204678362573,0.604029785370127
article-combined-0.3-leiden,idai,canonical_any_matching_alias,1467,1317,191,234,355,379,0.2419904567143831,0.9366754617414248,0.6632583503749148
article-combined-0.3-leiden,brexit,url,16961,14945,2171,97,5023,6819,0.29614999115618185,0.7366182724739698,0.4357644006839219
article-combined-0.3-leiden,brexit,canonical_any_matching_alias,10183,9062,2171,97,2825,3992,0.2774231562407935,0.7076653306613226,0.38456250613768045
article-combined-0.3-leiden,idai_specific,url,339,325,33,234,259,513,0.7640117994100295,0.5048732943469786,0.8702064896755162
article-combined-0.3-leiden,idai_specific,canonical_any_matching_alias,281,267,33,234,206,379,0.7330960854092526,0.5435356200527705,0.8505338078291815
article-combined-0.45-leiden,crash_grounding,url,29411,26034,5017,26,1977,2361,0.06721974771344055,0.8373570520965693,0.194281051307334
article-combined-0.45-leiden,crash_grounding,canonical_any_matching_alias,19238,16949,5017,26,1426,1660,0.0741241293273729,0.8590361445783132,0.1915999584156357
article-combined-0.45-leiden,christchurch,url,14239,12621,3065,27,1573,1895,0.11047124095793244,0.8300791556728232,0.3010745136596671
article-combined-0.45-leiden,christchurch,canonical_any_matching_alias,9171,8039,3065,27,852,1050,0.09290153745502126,0.8114285714285714,0.2260385999345764
article-combined-0.45-leiden,idai,url,2283,1901,328,50585,342,342,0.1498028909329829,1.0,0.33289531318440646
article-combined-0.45-leiden,idai,canonical_any_matching_alias,1467,1317,328,50585,342,342,0.2331288343558282,1.0,0.4076346284935242
article-combined-0.45-leiden,brexit,url,16961,14945,3907,95,1409,1694,0.08307293202051766,0.8317591499409681,0.16773775131183302
article-combined-0.45-leiden,brexit,canonical_any_matching_alias,10183,9062,3907,95,667,836,0.06550132573897673,0.7978468899521531,0.15879406854561523
article-combined-0.45-leiden,idai_specific,url,339,325,94,1350,96,754,0.2831858407079646,0.1273209549071618,0.5545722713864307
article-combined-0.45-leiden,idai_specific,canonical_any_matching_alias,281,267,94,1350,67,611,0.23843416370106763,0.10965630114566285,0.505338078291815
article-combined-0.3-louvain,crash_grounding,url,29411,26034,2518,11,6357,8318,0.21614361973411308,0.7642462130319788,0.4286831457617898
article-combined-0.3-louvain,crash_grounding,canonical_any_matching_alias,19238,16949,2518,11,4036,5395,0.2097931177877118,0.7481000926784059,0.409657968603805
article-combined-0.3-louvain,christchurch,url,14239,12621,1538,28,3524,5753,0.2474892899782288,0.612549973926647,0.48493573986937283
article-combined-0.3-louvain,christchurch,canonical_any_matching_alias,9171,8039,1538,28,2203,3967,0.24021371715189183,0.5553314847491807,0.44346309017555335
article-combined-0.3-louvain,idai,url,2283,1901,191,209,491,523,0.21506789312308366,0.9388145315487572,0.5869469995619798
article-combined-0.3-louvain,idai,canonical_any_matching_alias,1467,1317,191,209,363,389,0.2474437627811861,0.9331619537275064,0.6448534423994546
article-combined-0.3-louvain,brexit,url,16961,14945,2174,81,4817,6802,0.28400448086787333,0.7081740664510439,0.4046341607216556
article-combined-0.3-louvain,brexit,canonical_any_matching_alias,10183,9062,2174,81,2706,3982,0.26573701266817246,0.6795580110497238,0.361484827653933
article-combined-0.3-louvain,idai_specific,url,339,325,34,209,267,523,0.7876106194690266,0.5105162523900574,0.8672566371681416
article-combined-0.3-louvain,idai_specific,canonical_any_matching_alias,281,267,34,209,214,389,0.7615658362989324,0.5501285347043702,0.8469750889679716
article-combined-0.3-components,crash_grounding,url,29411,26034,2258,0,21234,337292,0.721974771344055,0.06295435409081745,0.7424773044099147
article-combined-0.3-components,crash_grounding,canonical_any_matching_alias,19238,16949,2258,0,13221,239185,0.6872336001663375,0.05527520538495307,0.7092213327788751
article-combined-0.3-components,christchurch,url,14239,12621,1401,0,10036,337292,0.7048247770208582,0.029754633967007817,0.7261043612613245
article-combined-0.3-components,christchurch,canonical_any_matching_alias,9171,8039,1401,0,6004,239185,0.6546723367135536,0.025101908564500282,0.6667757060298768
article-combined-0.3-components,idai,url,2283,1901,168,0,1102,337292,0.4826982041173894,0.0032671987476726397,0.6793692509855453
article-combined-0.3-components,idai,canonical_any_matching_alias,1467,1317,168,0,688,239185,0.46898432174505794,0.00287643455902335,0.7321063394683026
article-combined-0.3-components,brexit,url,16961,14945,2026,0,10601,337292,0.6250221095454277,0.03142974040297428,0.6542067095100524
article-combined-0.3-components,brexit,canonical_any_matching_alias,10183,9062,2026,0,5899,239185,0.5792988313856428,0.024662917825114452,0.5993322203672788
article-combined-0.3-components,idai_specific,url,339,325,29,0,290,337292,0.855457227138643,0.0008597891441243789,0.887905604719764
article-combined-0.3-components,idai_specific,canonical_any_matching_alias,281,267,29,0,233,239185,0.8291814946619217,0.0009741413550180822,0.8647686832740213
